date,date,price,signal,MA_trend,MACD_signal,RSI_signal,STOCH_signal,CCI_signal
2014-01-31,2014-01-31,70094.0,HOLD,,,,,
2014-02-28,2014-02-28,75000.0,HOLD,,BULLISH,,,
2014-03-31,2014-03-31,82500.0,HOLD,,BULLISH,,,
2014-04-30,2014-04-30,71500.0,HOLD,,BULLISH,,,
2014-05-31,2014-05-31,66000.0,HOLD,,BULLISH,,,
2014-06-30,2014-06-30,60000.0,HOLD,,BEARISH,,,
2014-07-31,2014-07-31,54101.0,HOLD,,BEARISH,,,
2014-08-31,2014-08-31,54101.0,HOLD,,BEARISH,,,
2014-09-30,2014-09-30,54161.0,HOLD,,BEARISH,,,
2014-10-31,2014-10-31,55000.0,HOLD,,BEARISH,,,
2014-11-30,2014-11-30,55000.0,HOLD,,BEARISH,,,
2014-12-31,2014-12-31,56000.0,HOLD,,BEARISH,,,
2015-01-31,2015-01-31,55400.0,HOLD,,BEARISH,,,
2015-02-28,2015-02-28,55400.0,HOLD,,BEARISH,,,
2015-03-31,2015-03-31,55400.0,HOLD,,BEARISH,,,
2015-04-30,2015-04-30,49000.0,HOLD,,BEARISH,OVERSOLD,,
2015-05-31,2015-05-31,48000.0,HOLD,,BEARISH,OVERSOLD,,
2015-06-30,2015-06-30,48000.0,HOLD,,BEARISH,OVERSOLD,,
2015-07-31,2015-07-31,48000.0,HOLD,,BEARISH,OVERSOLD,,
2015-08-31,2015-08-31,48000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2015-09-30,2015-09-30,46560.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2015-10-31,2015-10-31,46560.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2015-11-30,2015-11-30,39000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2015-12-31,2015-12-31,37830.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2016-01-31,2016-01-31,40002.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2016-02-29,2016-02-29,40002.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2016-03-31,2016-03-31,40000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2016-04-30,2016-04-30,40000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2016-05-31,2016-05-31,40000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2016-06-30,2016-06-30,40000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2016-07-31,2016-07-31,38801.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2016-08-31,2016-08-31,40000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2016-09-30,2016-09-30,41116.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2016-10-31,2016-10-31,42000.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-11-30,2016-11-30,43128.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2016-12-31,2016-12-31,42000.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2017-01-31,2017-01-31,42961.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2017-02-28,2017-02-28,41710.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2017-03-31,2017-03-31,42001.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2017-04-30,2017-04-30,42500.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2017-05-31,2017-05-31,45088.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-06-30,2017-06-30,45000.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-07-31,2017-07-31,50440.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-08-31,2017-08-31,53108.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-09-30,2017-09-30,53108.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERSOLD
2017-10-31,2017-10-31,60500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-11-30,2017-11-30,57750.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2017-12-31,2017-12-31,55290.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2018-01-31,2018-01-31,56000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2018-02-28,2018-02-28,56000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERSOLD
2018-03-31,2018-03-31,62000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2018-04-30,2018-04-30,55500.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2018-05-31,2018-05-31,56500.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2018-06-30,2018-06-30,61000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2018-07-31,2018-07-31,59500.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2018-08-31,2018-08-31,58000.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2018-09-30,2018-09-30,62831.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2018-10-31,2018-10-31,68000.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2018-11-30,2018-11-30,70000.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2018-12-31,2018-12-31,67900.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2019-01-31,2019-01-31,75000.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2019-02-28,2019-02-28,76700.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2019-03-31,2019-03-31,76000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2019-04-30,2019-04-30,78000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2019-05-31,2019-05-31,78200.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERBOUGHT
2019-06-30,2019-06-30,77100.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2019-07-31,2019-07-31,80000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,OVERBOUGHT
2019-08-31,2019-08-31,77600.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2019-09-30,2019-09-30,75500.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2019-10-31,2019-10-31,74000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2019-11-30,2019-11-30,73000.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2019-12-31,2019-12-31,74000.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2020-01-31,2020-01-31,74000.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2020-02-29,2020-02-29,74000.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2020-03-31,2020-03-31,53460.0,BUY,BULLISH,BULLISH,OVERSOLD,,OVERSOLD
2020-04-30,2020-04-30,53460.0,BUY,BULLISH,BULLISH,OVERSOLD,,OVERSOLD
2020-05-31,2020-05-31,59500.0,BUY,BULLISH,BULLISH,OVERSOLD,,OVERSOLD
2020-06-30,2020-06-30,59500.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2020-07-31,2020-07-31,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2020-08-31,2020-08-31,61000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2020-09-30,2020-09-30,61000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2020-10-31,2020-10-31,61000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,OVERSOLD
2020-11-30,2020-11-30,60000.0,HOLD,BULLISH,BEARISH,OVERSOLD,,
2020-12-31,2020-12-31,61000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2021-01-31,2021-01-31,61000.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2021-02-28,2021-02-28,73000.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2021-03-31,2021-03-31,68001.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2021-04-30,2021-04-30,67999.0,HOLD,BULLISH,BULLISH,,OVERBOUGHT,
2021-05-31,2021-05-31,66100.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2021-06-30,2021-06-30,66000.0,HOLD,BEARISH,BULLISH,OVERBOUGHT,OVERBOUGHT,
2021-07-31,2021-07-31,64000.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,
2021-08-31,2021-08-31,64000.0,HOLD,BEARISH,BULLISH,,OVERBOUGHT,OVERSOLD
2021-09-30,2021-09-30,62080.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2021-10-31,2021-10-31,61700.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2021-11-30,2021-11-30,61700.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2021-12-31,2021-12-31,59850.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2022-01-31,2022-01-31,59500.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2022-02-28,2022-02-28,59500.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2022-03-31,2022-03-31,57000.0,HOLD,BULLISH,BEARISH,,,
2022-04-30,2022-04-30,57000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2022-05-31,2022-05-31,57000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2022-06-30,2022-06-30,55500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2022-07-31,2022-07-31,54000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2022-08-31,2022-08-31,54000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2022-09-30,2022-09-30,54000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2022-10-31,2022-10-31,54000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2022-11-30,2022-11-30,53000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2022-12-31,2022-12-31,53000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2023-01-31,2023-01-31,53050.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2023-02-28,2023-02-28,53050.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2023-03-31,2023-03-31,53050.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2023-04-30,2023-04-30,53000.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2023-05-31,2023-05-31,51410.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2023-06-30,2023-06-30,51410.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,OVERSOLD
2023-07-31,2023-07-31,51410.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2023-08-31,2023-08-31,51410.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2023-09-30,2023-09-30,51410.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2023-10-31,2023-10-31,51413.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2023-11-30,2023-11-30,51400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2023-12-31,2023-12-31,51400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2024-01-31,2024-01-31,51400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2024-02-29,2024-02-29,51400.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2024-03-31,2024-03-31,50500.0,HOLD,BULLISH,BEARISH,OVERSOLD,OVERBOUGHT,
2024-04-30,2024-04-30,52075.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2024-05-31,2024-05-31,52000.0,HOLD,BULLISH,BEARISH,,OVERBOUGHT,
2024-06-30,2024-06-30,53560.0,SELL,BEARISH,BEARISH,,OVERBOUGHT,
2024-07-31,2024-07-31,53560.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2024-08-31,2024-08-31,53560.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2024-09-30,2024-09-30,53561.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2024-10-31,2024-10-31,53561.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2024-11-30,2024-11-30,53502.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
2024-12-31,2024-12-31,53510.0,SELL,BEARISH,BEARISH,OVERBOUGHT,OVERBOUGHT,
